<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
KMAZ,60,20191021,180000,57.4000000,57.4000000,57.0000000,57.0000000,140
KMAZ,60,20191021,190000,57.3000000,57.3000000,57.0000000,57.1000000,170
KMAZ,60,20191022,110000,57.7000000,57.8000000,56.7000000,56.7000000,3520
KMAZ,60,20191022,120000,57.1000000,57.3000000,57.1000000,57.3000000,90
KMAZ,60,20191022,130000,56.9000000,57.3000000,56.8000000,56.9000000,420
KMAZ,60,20191022,140000,57.0000000,57.0000000,56.8000000,56.8000000,8340
KMAZ,60,20191022,150000,56.8000000,57.1000000,56.7000000,57.1000000,2170
KMAZ,60,20191022,160000,56.7000000,57.1000000,56.7000000,57.1000000,150
KMAZ,60,20191022,170000,57.1000000,57.4000000,57.0000000,57.3000000,3830
KMAZ,60,20191022,180000,57.3000000,57.3000000,57.1000000,57.1000000,20
KMAZ,60,20191022,190000,57.1000000,57.3000000,57.1000000,57.3000000,100
KMAZ,60,20191023,110000,56.9000000,57.0000000,56.8000000,57.0000000,4440
KMAZ,60,20191023,120000,57.0000000,57.0000000,56.7000000,56.9000000,8130
KMAZ,60,20191023,130000,57.0000000,57.1000000,56.4000000,57.0000000,1040
KMAZ,60,20191023,140000,56.9000000,56.9000000,56.9000000,56.9000000,70
KMAZ,60,20191023,150000,56.8000000,57.0000000,56.8000000,57.0000000,120
KMAZ,60,20191023,160000,57.0000000,57.0000000,56.8000000,56.8000000,580
KMAZ,60,20191023,170000,56.8000000,57.0000000,56.7000000,56.7000000,5700
KMAZ,60,20191023,180000,56.6000000,56.7000000,56.6000000,56.7000000,710
KMAZ,60,20191023,190000,56.7000000,56.7000000,56.6000000,56.6000000,830
KMAZ,60,20191024,110000,57.0000000,57.4000000,56.2000000,56.4000000,8770
KMAZ,60,20191024,120000,56.4000000,56.4000000,55.0000000,56.2000000,15520
KMAZ,60,20191024,130000,56.2000000,56.3000000,56.0000000,56.0000000,2650
KMAZ,60,20191024,140000,56.0000000,56.0000000,55.8000000,56.0000000,4020
KMAZ,60,20191024,150000,55.8000000,56.0000000,55.7000000,55.9000000,4710
KMAZ,60,20191024,160000,56.0000000,56.0000000,55.9000000,56.0000000,320
KMAZ,60,20191024,170000,56.0000000,56.0000000,55.9000000,56.0000000,650
KMAZ,60,20191024,180000,56.0000000,56.5000000,55.9000000,56.5000000,6360
KMAZ,60,20191024,190000,56.6000000,56.7000000,56.4000000,56.7000000,1420
KMAZ,60,20191025,110000,55.8000000,56.7000000,55.8000000,56.3000000,620
KMAZ,60,20191025,120000,56.3000000,56.5000000,56.1000000,56.5000000,1620
KMAZ,60,20191025,130000,56.5000000,56.5000000,56.2000000,56.3000000,50
KMAZ,60,20191025,140000,56.1000000,56.4000000,56.1000000,56.3000000,190
KMAZ,60,20191025,150000,56.4000000,56.4000000,56.3000000,56.4000000,510
KMAZ,60,20191025,160000,56.4000000,56.5000000,56.3000000,56.3000000,890
KMAZ,60,20191025,170000,56.5000000,56.6000000,56.3000000,56.6000000,1550
